,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
1667,7335086838119501086,2024-02-13T09:04:42,20.0,US,"['our military operation in rafah', ' biden rafah', ' king abdullah jordan', ' Military Press', ' freudian slip', ' biden fall collection', ' president head statue', ' jordan', ' king of jordan', ' king of jordan speech']",93400.0,4333.0,4176.0,982000.0,"'Our military operation in Rafah...' #US President #JoeBiden corrected himself after accidentally referring to Israel's looming ground offensive in southern Gaza as a US military operation, during a joint press conference with Jordan's #KingAbdullah II at the White House. #news #biden ",False,,aljazeeraenglish,Al Jazeera English,,,,,,True,"['us', 'joebiden', 'kingabdullah', 'news', 'biden']"
1838,7329701697847086366,2024-01-29T20:46:14,4.0,US,"['brock purdy', ' brock purdy edit', ' anna frey brock purdy explained', ' chubba purdy', ' brock purdy girlfriend', ' 49ers', ' brock purdy save us', ' NFL', ' purdy', ' Football Player']",332900.0,2062.0,780.0,4700000.0,"No way 😭 (via @Chubba Purdy, @Anna Frey) #brockpurdy #annafrey #49ers #sanfrancisco49ers #nfl ",False,,bleacherreport,bleacherreport,,,,,,True,"['brockpurdy', 'annafrey', '49ers', 'sanfrancisco49ers', 'nfl']"
1867,7333598719708826923,2024-02-09T08:49:33,26.0,US,"['ireland vs israel', ' ireland basketball team', ' ireland vs israel basketball', ' Basketball Players', ' Basketball Sport', ' ireland', ' basketball hands', ' ireland vs israel basketball handshake', ' Sean Strickland Vs Israel', ' hand swipe in basketball']",77900.0,1014.0,2523.0,677100.0,The Ireland women’s #basketball team refused to shake hands with their Israeli opponents during a #EuroBasket 2025 qualifier in #Latvia. #Ireland made the decision after an #Israeli player made allegations of anti-Semitism against them. #news ,False,,aljazeeraenglish,Al Jazeera English,,,,,,True,"['basketball', 'eurobasket', 'latvia.', 'ireland', 'israeli', 'news']"
1986,7334067500721851694,2024-02-10T15:08:04,147.0,US,"['Usher Super Bowl', ' prince halftime show', ' rihanna superbowl', ' phil collins superbowl', ' 2022 halftime superbowl', ' purple rain super bowl', ' super bowl halftime show', ' usher', ' Phil Collins', ' prince super bowl']",298100.0,4420.0,1803.0,4900000.0,2007 still gives me chills 😮‍💨 #superbowl #superbowlhalftimeshow #nfl #football #aerosmith #nsync #britneyspears #u2 #paulmccartney #therollingstones #prince #brucespringsteen #sports #music #fyp #foryou ,False,,kid.kevv4,kid.kevv,,,,,,False,"['superbowl', 'superbowlhalftimeshow', 'nfl', 'football', 'aerosmith', 'nsync', 'britneyspears', 'u2', 'paulmccartney', 'therollingstones', 'prince', 'brucespringsteen', 'sports', 'music', 'fyp', 'foryou']"
2098,7330785064340491566,2024-02-01T18:50:18,577.0,US,"['travis kelce', ' jason kelce', ' bond of brothers kelce', ' travis kelce taylor swift', ' bond of brothers', ' andy reid', ' Taylor Swift', ' travis and jason kelce', ' Kelce Brothers', ' travis kelce documentary']",993700.0,26100.0,4047.0,11500000.0,Bond of Brothers: #TravisKelce and #JasonKelce E:60 (2018),False,,espn,ESPN,,,,,,True,"['traviskelce', 'jasonkelce']"
2126,7329190963514002718,2024-01-28T11:44:56,59.0,US,[],13700.0,146.0,481.0,141600.0,#stitch with @Sunrise Movement #brokensystem #anticap #election2024,False,,clayishmoon,clayishmoon,,,,,,False,"['stitch', 'brokensystem', 'anticap', 'election2024']"
2222,7331751419042729258,2024-02-04T09:21:03,128.0,US,"['car found underwater with missing person', ' car found underwater with missing person after 40 years', ' adventures with purpose', ' finding missing people', ' Underwater', ' Underwater Videos', ' missing underwater', ' finding missing people in water', ' car found underwater', ' Car Finds']",631700.0,801.0,3944.0,5200000.0,#underwater #adventureswithpurpose #missing #learnontiktok #fyp ,False,,missing.vd,Missing,,,,,,False,"['underwater', 'adventureswithpurpose', 'missing', 'learnontiktok', 'fyp']"
2375,7330742471128812842,2024-02-01T16:05:00,126.0,US,[],385400.0,52200.0,4122.0,4300000.0,#creed #heyarnold #superbowl #nfl #football #commercial #tv #televison ,False,,mr.moviemustknows,Mr. Movie Mustknows,,,,,,False,"['creed', 'heyarnold', 'superbowl', 'nfl', 'football', 'commercial', 'tv', 'televison']"
2387,7333675946102312235,2024-02-09T13:48:57,129.0,US,[],19300.0,1135.0,1754.0,170600.0,Protestors interrupt Hillary Clinton at a Columbia event - Part 1 #hillary #worldnews #today ,False,,worldnewscoverage,WorldNews,,,,,,False,"['hillary', 'worldnews', 'today']"
2419,7332275239281331502,2024-02-05T19:12:47,348.0,US,[],31300.0,3339.0,2196.0,106000.0,Dr. Tariq Haddad is a Palestinian American cardiologist and community leader who grew up in #Gaza. He refused to meet with Secretary of State #AntonyBlinken last week in protest of the #Biden administration's ongoing support of #Israel's bombardment of Gaza.,False,,democracynow.org,Democracy Now!,,,,,,False,"['gaza.', 'antonyblinken', 'biden', ""israel's""]"
2455,7327443924166151470,2024-01-23T18:45:19,23.0,US,[],19600.0,1193.0,873.0,274900.0,"AMP staffers Mohamad Habehh & Ayah Ziyadeh joined protestors to disrupt President Biden’s campaign event in Manassas, VA #worldnews #today #virginia #breakingnews ",False,,worldnewscoverage,WorldNews,,,,,,False,"['worldnews', 'today', 'virginia', 'breakingnews']"
2626,7332065722719292703,2024-02-05T05:43:04,116.0,US,['newton palestine'],128800.0,12100.0,3756.0,429800.0,"The 15-year-old Palestinian boy, known as the 'Newton of Gaza,' generates #electricity using basic tools available amidst Israel's war on Gaza. #news #sciencetok #fypage ",False,,aljazeeraenglish,Al Jazeera English,,,,,,True,"['electricity', 'news', 'sciencetok', 'fypage']"
2628,7330061144175955231,2024-01-30T20:01:35,36.0,US,"['Deestroying', ' san antonio brahmas', ' ufl football game', ' ufl league', ' ufl brahmas', ' what is ufl', ' what is the ufl', ' deestroying ufl', ' ufl football', ' kohls kicking camp destroying']",398500.0,1608.0,1536.0,3500000.0,(🎥 UFLBrahmas/IG) #UFL #Deestroying #SanAntonio #springfootball #football  ,False,,espn,ESPN,,,,,,True,"['ufl', 'deestroying', 'sanantonio', 'springfootball', 'football']"
2677,7331945774705593643,2024-02-04T21:54:18,5.0,US,"['annie lennox grammys', ' annie lennox', "" sinead o'connor"", ' grammys 2024', ' annie lennox grammys 2024', ' grammys palestine', ' grammys', ' annie lennox palestine', ' taylor grammys 2024', ' album of the year grammys 2024']",300400.0,4543.0,1990.0,1800000.0,"Annie Lennox at the Grammys: ""Artists for ceasefire. Peace in the world.""",False,,varietymagazine,Variety,,,,,,True,[]
2734,7330006287763131691,2024-01-30T16:28:32,72.0,US,"['buggy', ' funbucketkustoms', ' Tractor Vehicle', ' water boy', ' fun toys', ' Tractor Farming', ' tractor flap', ' tractor combine', ' Tractor Farm Equipment', ' dozer tractor']",180100.0,2494.0,2065.0,1600000.0,My buggy identifies as a Tractor… #funbucketkustoms #fbk #kustom #police #sxs #tractor #waterboy #imovecarsmf #floridatoys ,False,,funbucketkustoms,FunBucketKustoms,,,,,,False,"['funbucketkustoms', 'fbk', 'kustom', 'police', 'sxs', 'tractor', 'waterboy', 'imovecarsmf', 'floridatoys']"
2749,7331610060587535646,2024-02-04T00:12:05,125.0,US,"['snl', ' snl nikki haley', ' snl ayo edebri', ' ayoedebiri', ' ayo snl', ' snl saturday night live', ' snl californians', ' The Civil Wars', ' snl breaking character', ' snl the californians']",37600.0,817.0,322.0,808300.0,"Looks like Nikki Haley on Saturday  Night Libe was not popular decision. But Ayo Edebiri asked Haley #SNL “I was just curious, what would you say was the main cause of the civil war, & do you think it starts with an 'S' and ends with a 'LAVERY?'"" Haley giggled. Here is part of it #NikkiHaley #Trump #republican #SNL #Politics ",False,,msrebeccaaguilar,Rebecca Aguilar,,,,,,False,"['snl', 'nikkihaley', 'trump', 'republican', 'snl', 'politics']"
3079,7330815984284093727,2024-02-01T20:50:18,30.0,US,"['Singapore', ' cillian murphy im irish', ' shou cheu vs congress', ' Cillian Murphy', ' Cotton', ' Tom', ' american born chinese', ' chinese accent', ' chinese braver']",5000000.0,83700.0,51000.0,47500000.0,How many times it takes a U.S. Senator to be told a Singaporean isn't Chinese? At least 7 for Republican Senator Tom Cotton.⁠ ,False,,nextshark,NextShark,,,,,,True,[]
3180,7330698737532587310,2024-02-01T13:15:22,40.0,US,"['tiktok vs congress', ' tiktok ceo', ' social media vs congress 2024', ' mark zuckerberg vs congress', ' what does yada yada mean', ' kennedy senator', ' senator kennedy funny moments', ' Social Media', ' Lip Reading', ' Social Media TikTok']",1300000.0,49600.0,21000.0,13100000.0,Why did this Senator ask this? 😂 #socialmedia #snapchat #politics #yadayada #technews ,False,,superlocalapp,Superlocal,,,,,,False,"['socialmedia', 'snapchat', 'politics', 'yadayada', 'technews']"
3410,7327031580910816555,2024-01-22T16:05:11,70.0,US,"['ammar anwar labour party', ' labour party', ' british labour party', ' ammar anwar british labour party', ' anwar']",233600.0,16500.0,11300.0,1400000.0,“I can no longer be part of this institution after its support of an apartheid state.” Former #British #Labour Party councillor denounces the party’s leadership for straying from its values and resigns in an emotional address to #Kirklees council. #news ,False,,aljazeeraenglish,Al Jazeera English,,,,,,True,"['british', 'labour', 'kirklees', 'news']"
3423,7257715055494516010,2023-07-19T22:01:17,8.0,US,"['collin sexton in nba', ' Basket Ball', ' collin sexton', ' collin sexton in defense', ' Defense Basketball', ' Sports NBA', ' Basketball Sport', ' Basketball Players', ' sports', ' sport clips']",31300.0,180.0,95.0,390900.0,Bro was indecisive 🤣 #nba #basketball #colinsexton #funny #sports ,False,,bleacherreport,bleacherreport,,,,,,True,"['nba', 'basketball', 'colinsexton', 'funny', 'sports']"
3424,7308193369728093483,2023-12-02T21:43:02,67.0,US,"['collin sexton', ' collin sexton 3 on 5', ' collin sexton 3v5 college', ' collin sexton vs nets big 3', ' collin sexton now', ' collin sexton edit', ' collin sexton defence', ' collin sexton in defense', ' colin sexton 3 on 5 game', ' collin sexton highlight']",448500.0,1290.0,620.0,3000000.0,Young Bull 😤😤😤 #sports #nba #foru #fyp,False,,hoopology_tiktok,Hoop,,,,,,False,"['sports', 'nba', 'foru', 'fyp']"
3481,7330352935261539614,2024-01-31T14:54:12,22.0,US,"['Ceo TikTok', ' tom cotton tiktok', ' Interview Questions', ' Cotton', ' Tom']",785300.0,27400.0,30100.0,14400000.0,Arkansas Senator Tom Cotton repeatedly questions CEO of #TikTok Shou Chew about his nationality during today's Senate child safety hearing.  #fyp #news #politicaltiktok ,False,,msnbc,MSNBC,,,,,,True,"['tiktok', 'fyp', 'news', 'politicaltiktok']"
