,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
6651,7338955271064046890,2024-02-23T19:15:09,165.0,US,"['john oliver', ' John Oliver British Comedian', ' lucy boynton', ' who is john oliver', ' john oliver puteketeke']",18400.0,110.0,903.0,290500.0,@Lucy breaks down OAN’s *interesting* response video to a John Oliver segment #conservative #news #johnoliver #scotus ,False,,couriernewsroom,COURIER,,,,,,True,"['conservative', 'news', 'johnoliver', 'scotus']"
6690,7338838863634287915,2024-02-23T11:43:11,194.0,US,"['michigan', ' nbc', ' michigan reaction']",8083.0,321.0,884.0,42500.0,"MSNBC goes to Michigan, talks to voters and finally realizes why Biden sucks. with @central_committee  Tags: #news #politics #USPolitics #Michigan #MSNBC #YasminVossoughian #AlexWitt #MikeFromPA",False,,leftex99,LeftEx,,,,,,False,"['news', 'politics', 'uspolitics', 'michigan', 'msnbc', 'yasminvossoughian', 'alexwitt', 'mikefrompa']"
6713,7330277195266542891,2024-01-31T09:59:38,38.0,US,"['Lgbtq', ' sea boundary palestine', ' lgbt pride']",19200.0,211.0,2120.0,117500.0,Replying to @Rylee Bareket 🇮🇱 #foryou #lgbtq #communication #leftist #freedom ,False,,fka.monstersincooperated,Cooper,,,,,,False,"['foryou', 'lgbtq', 'communication', 'leftist', 'freedom']"
6714,7323249185560513838,2024-01-12T11:27:09,58.0,US,"['jewish', ' Lgbtq', ' Jewish Family', ' orthodox jewish', ' Israel Tourism', ' visit israel', ' Israel Travel']",29400.0,344.0,1757.0,154800.0,Replying to @Hodaya Cohen🧡 #foryou #lgbtq #communication #leftist #jewish ,False,,fka.monstersincooperated,Cooper,,,,,,False,"['foryou', 'lgbtq', 'communication', 'leftist', 'jewish']"
6729,7323206533226057003,2024-01-12T08:41:47,107.0,US,"['yuval abraham', ' yuval abraham cnn', ' technology', ' Ai Generated Video', ' Information Technology', ' Ai Tools', ' New Technologies', ' generate ai image', ' yuval abraham cnn interview', ' cnn ball drop']",27900.0,1272.0,1096.0,131000.0,#greenscreen #cnn #news #updates #ai #aitechnology ,False,,leah.oh.gee,🔻leah.oh.gee🔻,,,,,,False,"['greenscreen', 'cnn', 'news', 'updates', 'ai', 'aitechnology']"
6752,7336666282789555502,2024-02-17T15:12:49,31.0,US,"['driving lesson fails', ' learning how to drive', ' Driving Test', ' driving lessons', ' Driving Test Fail', ' parents teaching to drive', ' Driving', ' Car Videos', ' Driving Car Video', ' almost hitting cop car']",906500.0,65600.0,22500.0,12000000.0,The dad got so scared🤣#fyp #police #car #fypシ #foryou ,False,,policeondutyy,policeondutyy,,,,,,False,"['fyp', 'police', 'car', 'fypシ', 'foryou']"
6866,7339782930572594475,2024-02-26T00:47:13,72.0,US,"['why did jodi arias do it', ' who is jodi arias', ' jodi arias sentencing', ' case', ' Camera Cases']",917500.0,1022.0,2282.0,11000000.0,what jodi arias is like when she doesn’t know cameras are rolling yet #jodiarias #jodiariascase #jodiariasinterview #travisalexander #travisalexandercase #truecrime #crime #jodiariastrial #truecrimetok #longvideos #longervideos #longvideo #longervideo ,False,,truecrime_central,true crime,,,,,,False,"['jodiarias', 'jodiariascase', 'jodiariasinterview', 'travisalexander', 'travisalexandercase', 'truecrime', 'crime', 'jodiariastrial', 'truecrimetok', 'longvideos', 'longervideos', 'longvideo', 'longervideo']"
6887,7340338632332414251,2024-02-27T14:15:00,73.0,US,"['olivia rodrigo', ' olivia rodrigo palestine', ' olivia rodrigo supreme court', ' olivia rodrigo lily allen', ' lily allen f u', ' olivia rodrigo f u supreme court', ' fund 4 good', ' olivia rodrigo fund 4 good', ' Olivia Rodrigo Singing', ' olivia rodrigo song']",169700.0,1072.0,1647.0,788700.0,"Olivia Rodrigo is putting her money where her mouth is when it comes to reproductive rights (Source: NME, Olivia Rodrigo) #oliviarodrigo  #fund4good  #reproductiverights  #music",False,,popculturebrain,Alex | Pop Culture Brain,,,,,,False,"['oliviarodrigo', 'fund4good', 'reproductiverights', 'music']"
6913,7336082568976059690,2024-02-16T01:28:02,60.0,US,"['skydiver air balloon', ' julian dimatteo skydiving', ' guy tries to skydive out of balloon', ' air balloon', ' skydiver tried to jump illegally outcome', ' Skydiving', ' air balloon incident', ' julian skydiver', ' Balloons In The Sky', ' skydiving from air balloon']",646700.0,1305.0,9004.0,15300000.0,Man tries to jump off hot air baloon! #fyp #news #trending #viral ,False,,thedailydripmedia,The Daily Drip,,,,,,False,"['fyp', 'news', 'trending', 'viral']"
6940,7339696159562239275,2024-02-25T19:10:07,0.0,US,"['Hamster', ' Conservative', ' Hamster Video', ' Hamsters Climbing On Wall', ' Hamster Screaming', ' hamster hibernating', ' cute hamster', ' hamster flattens himself', ' bill hamster', ' Angry Hamsters']",2369.0,70.0,30.0,31700.0,#politics #politicaltiktok #twitter #hamster #democrat #republican #america #usa #foryoupage #fyp #liberal #conservative ,False,,crazymomentspolitic,Crazy Moments in Politics,,,,,,False,"['politics', 'politicaltiktok', 'twitter', 'hamster', 'democrat', 'republican', 'america', 'usa', 'foryoupage', 'fyp', 'liberal', 'conservative']"
6948,7339929655442427178,2024-02-26T10:16:03,292.0,US,"['Parker Leverett', ' parker stands up to mom', ' parker custody battle final part', ' parker leverett today 2024', ' parker leverett dad gets custody', ' Cops Saving Lives', ' Parker Get A Job', ' parker custody battle แปล', ' young cop female prison']",630200.0,865.0,4781.0,19100000.0,"14 year old Parker stands up for his rights. Cops say he is free to go with his dad, instead of mom#cops #police #copsoftiktok #fyp #trending #learnontiktok ",False,,bodycampolices,Body camera,,,,,,False,"['cops', 'police', 'copsoftiktok', 'fyp', 'trending', 'learnontiktok']"
7003,7338957362675354926,2024-02-23T19:23:08,69.0,US,"['salem witch trials', ' colonial colleges', ' william and mary', ' yale', ' Yale University', ' history', ' university', ' College University', ' harvard yale', ' howard university']",25600.0,234.0,202.0,400200.0,#greenscreen #history #yale #havard #college #weirdhistory #historytok #historytime #newengland #university #yaleuniversity ,False,,what.history,WHAT HISTORY!,,,,,,False,"['greenscreen', 'history', 'yale', 'havard', 'college', 'weirdhistory', 'historytok', 'historytime', 'newengland', 'university', 'yaleuniversity']"
7010,7340330402051116318,2024-02-27T12:11:08,102.0,US,[],5844.0,145.0,819.0,255600.0,#usa #cnn #biden #trump #trend #foxnews #trump #trend ,False,,ryanjosephnetwork1,Ryan Joseph,,,,,,False,"['usa', 'cnn', 'biden', 'trump', 'trend', 'foxnews', 'trump', 'trend']"
7036,7337790348741152031,2024-02-20T15:54:22,118.0,US,"['california', ' Adam']",2432.0,34.0,198.0,55000.0,Its Schiff’s to lose BUT sidenote Lee’s record SCREAMS progressive #democratsoftiktok #adamschiff #california #barbaralee #progressive #senate #election2024 #facts ,False,,ogofthehrc,OGoftheHRC,,,,,,False,"['democratsoftiktok', 'adamschiff', 'california', 'barbaralee', 'progressive', 'senate', 'election2024', 'facts']"
7049,7340023445775732011,2024-02-26T16:19:57,126.0,US,"['tesla pie order', ' Tesla', ' the giving pies san jose', ' San Jose', ' Tesla Car', ' Tesla Robot', ' Tesla Wheels', ' Tesla Products', ' tesla plaid', ' tesla cut up']",75700.0,1239.0,974.0,661900.0,"""This is what San Jose is all about."" The community is giving back to The Giving Pies after Tesla placed an order from the shop worth thousands and then unexpectedly canceled. #business #sj #sanjose #pie #pies #tesla #cancel #canceled #order #community #news #fyp #foryoupage #abc7news ",False,,abc7newsbayarea,ABC7 News,,,,,,True,"['business', 'sj', 'sanjose', 'pie', 'pies', 'tesla', 'cancel', 'canceled', 'order', 'community', 'news', 'fyp', 'foryoupage', 'abc7news']"
7080,7340084935069338910,2024-02-26T20:18:31,69.0,US,"['ruth gottesman', ' albert einstein college of medicine', ' ruth gottesman speech', ' ruth gottesman networth', ' Medical School', ' free tuition college', ' bronx medical school', ' heart of america', ' Medical School In New York', ' bronx new york']",539700.0,42600.0,13200.0,6000000.0,"All future #students at New York City’s Albert Einstein College of Medicine in The #Bronx will receive free #tuition thanks to a historic #donation of $1 billion from Dr. Ruth L. Gottesman, a retired professor and board member. #news #goodnews #freetuition #college #medicalschool #nyc #debt #studentloans #newyork #moneytok #education  ",False,,cbseveningnews,CBSEveningNews,,,,,,True,"['students', 'bronx', 'tuition', 'donation', 'news', 'goodnews', 'freetuition', 'college', 'medicalschool', 'nyc', 'debt', 'studentloans', 'newyork', 'moneytok', 'education']"
