,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
6661,7322851055199358251,2024-01-11T09:42:18,9.0,US,[],8248.0,10.0,179.0,263200.0,Elite conversations only 🔥 (via @NFL) #traviskelce #billbelichick #football #patriots ,False,,espn,ESPN,,,,,,True,"['traviskelce', 'billbelichick', 'football', 'patriots']"
6666,7322530117148740906,2024-01-10T12:56:59,131.0,US,"['floyd bennett field', ' immigrants reunited with family', ' New York', ' james madison high school', ' new york migrants 2024', ' Immigrant Parents Seeing Their Parents', ' brooklyn high school']",28200.0,6884.0,5288.0,686400.0,"Migrant families returned to Floyd Bennett Field early Wednesday after being temporarily relocated to a high school during the high winds of the winter storm. New York City Mayor Eric Adams visited James Madison High School in Brooklyn on Tuesday night to see the asylum seeker families sleeping in the auditorium and gym. In pictures posted on social media, there do not appear to be cots. Instead, the migrant families are sleeping in auditorium chairs, in folding chairs, or on the floor with blankets. The city said the winds at Floyd Bennett Field had subsided by 1:10 a.m. By 4:30 a.m., officials said ""our temporary relocation of Floyd Bennett Field HERRC guests to James Madison High School was completed and all guests safely returned to Floyd Bennett Field HERRC."" The decision had already been made to operate the high school remotely Wednesday, but the move has drawn backlash from some parents and politicians. Republican Assemblyman Michael Novakhov held an ""emergency rally"" outside the school on the ""decision to prioritize migrants over the our communities, budget, safety and even the education of our children."" The decision didn't sit well with parents who felt the administration put the shelter needs of asylum seekers ahead of the educational needs of kids. Now with another storm on the way, parents are wondering if the migrants will soon return to James Madison. ""Nobody is in charge, New Yorkers are a very compassionate people but they are losing their patience, they don't have any patience anymore,"" said New York State Assemblymember Alec Brook-Krasny. #nyc #migrantes #news ",False,,abc7ny,ABC7NY,,,,,,True,"['nyc', 'migrantes', 'news']"
6700,7322608395750608170,2024-01-10T18:00:54,58.0,US,"['nick saban', ' nick saban retiring', ' nick saban edit', ' nick saban on henry ruggs', ' Saban Ruggs Speech', ' nick saban angry', ' coach saban retirement', ' anna frey goat edit', ' nick saban speech', ' saban retiring']",139900.0,631.0,682.0,1100000.0,THANK YOU COACH SABAN ❤️ || #Saban #Nick #Alabama #Bama #retire #coach #anna #frey #football ,False,,ua_edits_13,UA_Edits,,,,,,False,"['saban', 'nick', 'alabama', 'bama', 'retire', 'coach', 'anna', 'frey', 'football']"
6713,7322128391615008046,2024-01-09T10:58:29,25.0,US,"['lsu cheerleader jig', ' lsu cheerleaders', ' sarah lee lsu cheerleader', ' lsu', ' lsu jigging', ' Cheerleader', ' lsu celebration', ' Louisiana State University', ' Football', ' lsu hip hop']",19500.0,397.0,786.0,609600.0,She went off! 🔥👏 (via @ICanMultiply) #lsu #louisiana #dance #football,False,,espn,ESPN,,,,,,True,"['lsu', 'louisiana', 'dance', 'football']"
6725,7322526716507852078,2024-01-10T12:44:03,35.0,US,[],24600.0,115.0,86.0,507800.0,#JimHarbaugh had a cannon 😳 #nfl #quarterback #ravens,False,,espn,ESPN,,,,,,True,"['jimharbaugh', 'nfl', 'quarterback', 'ravens']"
6739,7322610456017800494,2024-01-10T18:08:46,39.0,US,"['nick saban retiring', ' nick saban', ' nick saban retiring reaction', ' bill belichick retiring', ' nick saban reactions', ' nick saban announces retirement', ' nick saban retiring pat mcafee', ' bama fans reacting to saban retiring', ' nick saban announces retirement reaction', ' Nick Saban Aight']",566900.0,821.0,1252.0,6100000.0,Man was in denial #nicksaban #retiring #whatsnext #alabama #football ,False,,plugged.in.sports,Plugged in Sports,,,,,,False,"['nicksaban', 'retiring', 'whatsnext', 'alabama', 'football']"
6742,7322838629435313451,2024-01-11T08:54:05,21.0,US,[],49400.0,241.0,139.0,539400.0,When Belichick told Ochocinco the game plan 🤣 (via @NFLFilms) #billbelichick #patriots #newengland #nfl ,False,,espn,ESPN,,,,,,True,"['billbelichick', 'patriots', 'newengland', 'nfl']"
6757,7322708059812400414,2024-01-11T00:27:31,13.0,US,"['klay thompson', ' warriors getting booed by their own fans', ' warriors', ' warriors booed', ' warriors vs pelican', ' klay thompson feelings hurt', ' klay thompson interview', ' klay thompson booed', ' klay getting booed', ' Basketball NBA']",108400.0,1180.0,4143.0,1800000.0,😬 #klay #klaythompson #warriors #nba ,False,,bleacherreport,bleacherreport,,,,,,True,"['klay', 'klaythompson', 'warriors', 'nba']"
6777,7322713695107271967,2024-01-11T00:49:18,0.0,US,[],7747.0,24.0,121.0,126800.0,Four top-5 teams have lost to unranked opponents in just the past two days 😳 #college #basketball #purdue #houston #kansas #tennessee  ,False,,espn,ESPN,,,,,,True,"['college', 'basketball', 'purdue', 'houston', 'kansas', 'tennessee']"
6778,7322663665491086634,2024-01-10T21:35:22,64.0,US,"['nick saban funniest moments', ' Nick Saban', ' nick saban getting mad', ' nick saban angry', ' nick saban funny moments', "" i'm not going to so quit asking"", ' nick saban quit asking', ' nick saban retiring', ' nick saban georgia southern', ' nick saban yelling']",191900.0,7889.0,540.0,1500000.0,NICK SABAN BEST/FUNNY MOMENTS (happy retirement 🐐) #fyp #foryou #foryoupage #sports #nfl #nflfootball #ncaafootball #ncaa #collegefootball #nicksaban ,False,,lacedtv,Lace,,,,,,False,"['fyp', 'foryou', 'foryoupage', 'sports', 'nfl', 'nflfootball', 'ncaafootball', 'ncaa', 'collegefootball', 'nicksaban']"
6782,7322693104811756831,2024-01-10T23:30:03,8.0,US,"['warriors', ' steph curry traded', ' Steph Curry', ' warriors vs pelican', ' curry basketball', ' Stephen Curry Basketball', ' Basketball NBA', ' Sports NBA', ' warriors out of playoffs', ' nba']",115200.0,645.0,2019.0,1500000.0,What’s wrong with the Warriors? 😳 #stephcurry #warriors #nba ,False,,bleacherreport,bleacherreport,,,,,,True,"['stephcurry', 'warriors', 'nba']"
6789,7322626196313804074,2024-01-10T19:10:05,0.0,US,"['ryan williams', ' nick saban retiring', ' ryan williams decommit', ' alabama decommit', ' Nick Saban', ' saban retiring', ' Alabama Football', ' football', ' cfb', ' SEC Football']",65300.0,147.0,592.0,471800.0,First nick now this 😞😞 #alabama #cfb #sec #sports #football ,False,,bama.hq,RTR,,,,,,False,"['alabama', 'cfb', 'sec', 'sports', 'football']"
6800,7322832030251715883,2024-01-11T08:28:28,9.0,US,"['quarantine draft nfl', ' quarantine draft', ' mike vrabel draft', ' 2020 nfl draft', ' bill belichick husky', ' mike vrabel quarantine draft', ' bill belecheck', ' dog funny', ' Dog Screaming', ' Patriots']",80100.0,221.0,138.0,555800.0,Never forget when Bill Belichick's dog was drafting for the Patriots 😂 #funny #pariots #football #dog ,False,,espn,ESPN,,,,,,True,"['funny', 'pariots', 'football', 'dog']"
6820,7322829175734160683,2024-01-11T08:17:21,0.0,US,[],53600.0,169.0,410.0,628100.0,It’s the end of an era in #NewEngland 🐐🐐 #patriots #goat #nfl #BillBelichick #tombrady ,False,,espn,ESPN,,,,,,True,"['newengland', 'patriots', 'goat', 'nfl', 'billbelichick', 'tombrady']"
6828,7322658099590876459,2024-01-10T21:13:46,0.0,US,[],18500.0,970.0,1673.0,650200.0,Who will replace #NickSaban at #Alabama? 🤔 Full article on ESPN+ 📲 #collegefootball #rolltide #daboswinney ,False,,espn,ESPN,,,,,,True,"['nicksaban', 'alabama?', 'collegefootball', 'rolltide', 'daboswinney']"
6846,7322644063398677790,2024-01-10T20:19:24,15.0,US,"['Stephen Curry', ' Stephen Curry Basketball', ' curry basketball', ' warriors', ' warriors court', ' Sports NBA', ' nba', ' Stephen Curry American Basketball Player', ' NBA Moments', ' Stephen Curry Arms']",64200.0,172.0,200.0,638800.0,Brandin Podziemski from FULL COURT 🔥 (via @NBC Sports Bay Area & CA) #stephcurry #warriors #nba ,False,,bleacherreport,bleacherreport,,,,,,True,"['stephcurry', 'warriors', 'nba']"
6856,7322584661094436139,2024-01-10T16:28:47,68.0,US,"['jasmine crockett hunter biden', ' jasmine crockett palestine', ' hunterbiden', ' congresswoman jasmine crockett', ' HUNTER', ' white privilege', ' hunter biden jr', ' hunter biden shows up', ' jasmine crockett vs candice', ' jasmine crockett vs candace owens']",144200.0,4329.0,3808.0,1200000.0,"When #HunterBiden made a surprise appearance at a House committee hearing to hold him in contempt, Republican Rep. #NancyMace called him the ""epitome of white privilege"" for ignoring a subpoena. Democratic Rep. #JasmineCrockett called that ""a spit in the face.""",False,,nbcnews,nbcnews,,,,,,True,"['hunterbiden', 'nancymace', 'jasminecrockett']"
6867,7322645753388666142,2024-01-10T20:26:01,0.0,US,[],79500.0,416.0,753.0,1100000.0,Nick Saban’s player tree is UNREAL 🤯 #nicksaban #collegefootball #alabamafootball ,False,,bleacherreport,bleacherreport,,,,,,True,"['nicksaban', 'collegefootball', 'alabamafootball']"
6870,7322650281420901662,2024-01-10T20:43:37,0.0,US,[],104500.0,434.0,743.0,1200000.0,Shedeur Sanders recruiting players to Colorado after Nick Saban announced his retirement? 👀 #shedeursanders #coachprime #deionsanders #nicksaban #collegefootball ,False,,bleacherreport,bleacherreport,,,,,,True,"['shedeursanders', 'coachprime', 'deionsanders', 'nicksaban', 'collegefootball']"
6886,7322646028925095211,2024-01-10T20:26:59,0.0,US,[],36100.0,222.0,241.0,642100.0,His impact on the game will live forever 🐐 #NickSaban #Alabama #RollTide #Coach #CFB ,False,,espn,ESPN,,,,,,True,"['nicksaban', 'alabama', 'rolltide', 'coach', 'cfb']"
6906,7322623136254709038,2024-01-10T18:58:06,50.0,US,[],4125.0,38.0,25.0,53700.0,“I ain’t know Coach had it in him.” 🤣 #nicksaban #alabama #highlights,False,,espn,ESPN,,,,,,True,"['nicksaban', 'alabama', 'highlights']"
6924,7322571672832232746,2024-01-10T15:38:28,589.0,US,"['spitfire', ' dogs of TikTok', ' spitfire greyhound', ' small dogs', ' Dogs Running', ' Dog Jumping', ' Dog Walking', ' puppy dogs', ' dog running on treadmill', ' michael jordan']",316700.0,9279.0,1647.0,2800000.0,"Michael Jordan, Tom Brady, Tiger Woods, LeBron James… Spitfire. 🐐🐕 #dog #dogsoftiktok ",False,,espn,ESPN,,,,,,True,"['dog', 'dogsoftiktok']"
6934,7322568981443906847,2024-01-10T15:28:29,0.0,US,"['peter carroll', ' nick saban retiring', ' seahawks', ' Football Videos', ' football', ' NFL Football', ' Seattle Seahawks', ' Football Clips', ' The Seahawks', ' NFL']",44600.0,258.0,464.0,574400.0,End of an era for Pete Carroll as HC in Seattle 👏 #nfl #nflfootball #football #seahawks ,False,,bleacherreport,bleacherreport,,,,,,True,"['nfl', 'nflfootball', 'football', 'seahawks']"
6941,7322584520069385518,2024-01-10T16:28:17,84.0,US,[],94600.0,1011.0,729.0,589900.0,Got me tearing up in the office rn 🥲 (via @Seattle Seahawks) #petecarroll #seahawks #nfl #football #emotional #sad ,False,,overtimeszn,Overtimeszn,,,,,,True,"['petecarroll', 'seahawks', 'nfl', 'football', 'emotional', 'sad']"
6961,7322154773539605790,2024-01-09T12:41:14,0.0,US,[],31700.0,235.0,724.0,565700.0,Titans have fired HC Mike Vrabel #nfl #nflfootball #football #titans ,False,,bleacherreport,bleacherreport,,,,,,True,"['nfl', 'nflfootball', 'football', 'titans']"
6966,7322598992003534122,2024-01-10T17:24:22,6.0,US,"['nick saban retiring', ' Nick Saban', ' Football', ' College Football', ' Football Handshakes', ' Handshake', ' alabama football', ' College Football Videos', ' Handshakes For Football', ' football moments']",52200.0,321.0,272.0,607900.0,The end of an #era 👏 #NickSaban #AlabamaFootball #collegefootball ,False,,espn,ESPN,,,,,,True,"['era', 'nicksaban', 'alabamafootball', 'collegefootball']"
6985,7322598162567400735,2024-01-10T17:21:24,0.0,US,[],129700.0,903.0,1180.0,1100000.0,"Nick Saban is retiring, per ClowESPN. Saban is one of the best to ever do it: 🐐 7 National championships (6 w/ Bama, 1 w/ LSU) 🐐 11 SEC titles 🐐 5x SEC COY awards 🐐 297 career wins (5th all-time) 28 years of greatness. #cfb #cfp #alabama #alabamafootball #college #collegefootball ",False,,bleacherreport,bleacherreport,,,,,,True,"['cfb', 'cfp', 'alabama', 'alabamafootball', 'college', 'collegefootball']"
7001,7322597311618518315,2024-01-10T17:17:50,0.0,US,[],94300.0,1793.0,1546.0,1100000.0,"Breaking: Alabama’s head coach Nick Saban is retiring, sources tell Chris Low. #alabama #football #nicksaban ",False,,espn,ESPN,,,,,,True,"['alabama', 'football', 'nicksaban']"
7027,7322305018978209066,2024-01-09T22:23:22,55.0,US,"['jj mccarthy', ' College Football', ' football', ' cfb', ' College Football Videos', ' Michigan Football', ' football games', ' Michigan', ' college football championship', ' Soccer']",18900.0,71.0,232.0,180100.0,The champs are back in Ann Arbor and fans want one more year of JJ 🗣️ #cfb #collegefootball #jjmccarthy #michigan #goblue ,False,,cbssportscfb,CBS Sports College Football,,,,,,True,"['cfb', 'collegefootball', 'jjmccarthy', 'michigan', 'goblue']"
