abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
Cooler temperatures Thursday were expected to give firefighters a chance to control the large fire before more dangerous conditions arrived this weekend.,"Firefighters had a narrowing window to battle the wildfires raging in the Texas Panhandle on Thursday, as forecasters were expecting higher wind speeds and hotter, dryer air to return over the weekend.","{'main': 'Texas Firefighters Rush to Control Blaze as Warm, Windy Weather Approaches', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Wildfires', 'Texas', 'Fires and Firefighters', 'Disasters and Emergencies', 'Weather']",2024-02-29T10:26:31+0000,article,U.S.
"When skeletal remains surfaced in Northern Ireland last year, the discovery was shaded with a discomforting question: Was this an archaeological site, or a crime scene?","They turned up around Halloween, as a roaring storm gripped the wetlands of Northern Ireland and tilled its ground: human bones, sticking up from the tea-colored water in Bellaghy bog, halfway between Derry and Belfast.","{'main': 'In Ancient Bones, a Reminder that Northern Ireland’s Ghosts Are Never Far', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Missing Persons', 'Archaeology and Anthropology', 'Terrorism', 'Bones', 'Mummies and Mummification', 'Murders, Attempted Murders and Homicides', 'Skeletons', 'Police Service of Northern Ireland', 'Northern Ireland']",2024-02-29T10:30:13+0000,article,World
"The brutal cold, revolting food and beatings aren’t the worst part of being imprisoned at IK3, where Aleksei Navalny died. Rather, it’s being inside a system meant to break the human spirit.","Locked in an Arctic prison, Aleksei A. Navalny is likely to have spent his final days in some of the most inhumane conditions within Russia’s extensive penitentiary system, according to five men who have served sentences in the same penal colony as the Russian opposition leader.","{'main': '5 Convicts Familiar With Navalny’s Prison Confirm Hellish Conditions', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Navalny, Aleksei A', 'Russia', 'ARCTIC REGIONS', 'Prisons and Prisoners', 'Political Prisoners', 'Solitary Confinement', 'Putin, Vladimir V', 'Deaths (Fatalities)', 'Ex-Convicts', 'Men and Boys']",2024-02-29T10:45:15+0000,article,World
Ukrainian farmers and miners and their families who live to the west of the recently captured Avdiivka are poised to flee in the face of a Russian onslaught.,"Villagers living near the Ukrainian city of Avdiivka listened with dread in recent weeks to the sound of the bombs falling there, knowing their troops were taking a pounding and their villages were next in line.","{'main': 'Russia Took the City. Now It’s Coming for Their Villages.', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Russian Invasion of Ukraine (2022)', 'Defense and Military Forces', 'International Relations', 'Agriculture and Farming', 'Bombs and Explosives', 'Avdiivka (Ukraine)', 'Donetsk (Ukraine)', 'Ukraine']",2024-02-29T10:53:56+0000,article,World
Hundreds of American children were poisoned after a lead-tainted product sailed through gaps in the food-safety system.,"A Times investigation has revealed how applesauce laced with high levels of lead sailed through a food safety system meant to protect American consumers, and poisoned hundreds of children across the U.S.","{'main': 'How Poisoned Applesauce Found Its Way to Kids', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Food Contamination and Poisoning', 'Poisoning and Poisons', 'Food', 'Hazardous and Toxic Substances', 'Consumer Protection', 'Food and Drug Administration', 'United States']",2024-02-29T11:00:10+0000,article,Podcasts
"Plus, Trump gets what he wants: a trial delay.","The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter.","{'main': 'A Biden-Trump Border Showdown, and Mitch McConnell’s Exit', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Immunity from Prosecution', 'United States Politics and Government', 'Presidential Election of 2024', 'Actors and Actresses', 'Primaries and Caucuses', 'Supreme Court (US)', 'Biden, Joseph R Jr', 'Lewis, Richard (Comedian)', 'Trump, Donald J']",2024-02-29T11:01:39+0000,article,Podcasts
"“We also have weapons that can strike targets on their territory,” Mr. Putin said in an annual speech. “Do they not understand this?”","President Vladimir V. Putin of Russia said the West faced the prospect of nuclear conflict if it intervened more directly in the war in Ukraine, using an annual speech to the nation on Thursday to escalate his threats against Europe and the United States.","{'main': 'Putin Says West Risks Nuclear Conflict if It Intervenes More in Ukraine', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['International Relations', 'Russian Invasion of Ukraine (2022)', 'Defense and Military Forces', 'Nuclear Weapons', 'North Atlantic Treaty Organization', 'Macron, Emmanuel (1977- )', 'Putin, Vladimir V', 'Crimea (Ukraine)', 'Europe', 'Russia', 'Ukraine']",2024-02-29T11:04:50+0000,article,World
"The federal-state joint effort will aim to “combat misinformation, safeguard the rights of every citizen and ensure this election is safe, secure, free and fair,” Gov. Josh Shapiro said.","As a fall rematch between President Biden and former President Donald J. Trump becomes increasingly likely, the Democratic governor of Pennsylvania is announcing an Election Threats Task Force, a federal-state partnership, in the critical battleground state.","{'main': 'Pennsylvania Plans Task Force to Combat Election Disruptions', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Shapiro, Josh (1973- )', 'Homeland Security Department', 'Justice Department', 'Pennsylvania', 'Presidential Election of 2024', 'Federal-State Relations (US)', 'United States Politics and Government', 'Rumors and Misinformation', 'Governors (US)']",2024-02-29T11:30:06+0000,article,U.S.
The last few years have been great for energy production. You won’t hear the president bragging about it.,"A junior White House economist made a chart last year — the sort of chart that previous presidents might have put in a campaign ad. It shows that U.S. energy production, from wind and solar to oil and gas, has boomed under President Biden. The nation is closer than ever to a goal that presidents have pursued for decades: true energy independence. ","{'main': 'Biden’s Energy Balancing Act', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['internal-storyline-no', 'United States Politics and Government', 'Oil (Petroleum) and Gasoline', 'Law and Legislation']",2024-02-29T11:47:55+0000,article,Briefing
"Collections of works written and performed by Nathalie Joachim and Philip Glass, and a recording of Handel’s “Alcina,” are among the highlights.","On March 18, Carnegie Hall will present a new work of Nathalie Joachim’s, “I’m Right Here,” written for the chamber group Ensemble Connect. Other pieces by this composer and flutist can be found on some choice contemporary music recitals. But her biggest statements thus far have been albums released under her own name.","{'main': '5 Classical Music Albums You Can Listen to Right Now', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Classical Music'],2024-02-29T11:57:05+0000,article,Arts
